id,priorite,categorie,titre,impact,effort_estime,risque_patch,preuve,decision
DATA-001,P1,data,Contamination inter-sports dans team_stats,Modele fausse sur certains matchs football,Moyen,Moyen,QUALITE_DATA_SIGNAL.md + DATA_QUALITY_AUDIT.json,Namespace caches ou garde defensive
ODDS-001,P1,cotes,Winamax exact non priorise dans getMatchOdds,Edge/Kelly/reco peuvent utiliser cote externe,Moyen,Moyen,ROOT_CAUSE_BACKEND.md,Helper source actionnable unique
WINAMAX-001,P1,produit,winamax.available ambigu,Promesse Winamax-only fragile,Faible,Moyen,TECH_INVENTORY_SUMMARY.json + ROOT_CAUSE_BACKEND.md,Ajouter availability_kind ou winamax.exact
HEALTH-001,P2,monitoring,Sante/health trop optimiste,Faux vert operateur,Moyen,Faible,health.live.json + ROOT_CAUSE_BACKEND.md,Ajouter quality_checks semantiques
WEATHER-001,P2,data,Meteo geocodee sur mauvais lieu,Bruit modele si meteo pese,Moyen,Faible,DATA_QUALITY_AUDIT.json,Confidence/source ou geocoding par venue
MODAL-001,P2,ux,Modal detail sans onglets/focus limite,Confiance utilisateur et accessibilite,Moyen,Moyen,real-detail-button.png + audit,Patch minimal ou refonte onglets
ROUTER-001,P2,ux,Hash/page SPA desynchronises,Liens/refresh/back incoherents,Faible,Moyen,real-interactions.json,Sync hash/pushState
SCORING-001,P2,model,Tennis retired/walkover a clarifier,Bilan agent potentiellement biaise,Faible,Moyen,static-data-code-audit.json,Void/exclusion/regle bookmaker
PWA-001,P3,perf,Double chargement data/preload,Poids mobile et cache bruit,Faible,Moyen,interaction-accessibility-perf-audit.json,Unifier preload/fetch URL
SW-001,P3,pwa,Doublons assets service worker,Cache plus difficile a debugger,Faible,Moyen,surface-audit.json,Normaliser precache + bump
A11Y-001,P3,accessibilite,Images sans alt,Accessibilite perfectible,Faible,Faible,interaction-accessibility-perf-audit.json,alt vide/decoratif ou descriptif
FRONT-001,P3,maintenance,Dette app.js/CSS forte,Risque regressions futures,Eleve,Moyen,TECH_INVENTORY_LIVE.json,Tests puis extraction progressive

